Symbol,Name,Sector,industry,instrument,path
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,S1000037,./yhoo_data/S1000037.csv
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,S1000038,./yhoo_data/S1000038.csv
ABRN,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,S1000039,./yhoo_data/S1000039.csv
ABR^A,Arbor Realty Trust,n/a,n/a,S1000040,./yhoo_data/S1000040.csv
ABR^B,Arbor Realty Trust,n/a,n/a,S1000041,./yhoo_data/S1000041.csv
ABR^C,Arbor Realty Trust,n/a,n/a,S1000042,./yhoo_data/S1000042.csv
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,S1000043,./yhoo_data/S1000043.csv
ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing",S1000044,./yhoo_data/S1000044.csv
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,S1000045,./yhoo_data/S1000045.csv
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,S1000046,./yhoo_data/S1000046.csv
ABX,Barrick Gold Corporation,Basic Industries,Precious Metals,S1000047,./yhoo_data/S1000047.csv
ABY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central,S1000048,./yhoo_data/S1000048.csv
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service,S1000049,./yhoo_data/S1000049.csv
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,S1000050,./yhoo_data/S1000050.csv
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks,S1000051,./yhoo_data/S1000051.csv
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,S1000052,./yhoo_data/S1000052.csv
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,S1000053,./yhoo_data/S1000053.csv
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,S1000054,./yhoo_data/S1000054.csv
ACFC,Atlantic Coast Financial Corporation,Finance,Savings Institutions,S1000055,./yhoo_data/S1000055.csv
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,S1000056,./yhoo_data/S1000056.csv
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,S1000057,./yhoo_data/S1000057.csv
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,S1000058,./yhoo_data/S1000058.csv
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,S1000059,./yhoo_data/S1000059.csv
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000060,./yhoo_data/S1000060.csv
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,S1000061,./yhoo_data/S1000061.csv
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,S1000062,./yhoo_data/S1000062.csv
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,S1000063,./yhoo_data/S1000063.csv
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,S1000064,./yhoo_data/S1000064.csv
ACM,AECOM,Consumer Services,Military/Government/Technical,S1000065,./yhoo_data/S1000065.csv
ACN,Accenture plc,Miscellaneous,Business Services,S1000066,./yhoo_data/S1000066.csv
ACNB,ACNB Corporation,Finance,Major Banks,S1000067,./yhoo_data/S1000067.csv
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000068,./yhoo_data/S1000068.csv
ACP,Avenue Income Credit Strategies Fund,n/a,n/a,S1000069,./yhoo_data/S1000069.csv
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,S1000070,./yhoo_data/S1000070.csv
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,S1000071,./yhoo_data/S1000071.csv
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000072,./yhoo_data/S1000072.csv
ACSF,"American Capital Senior Floating, Ltd.",n/a,n/a,S1000073,./yhoo_data/S1000073.csv
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,S1000074,./yhoo_data/S1000074.csv
ACTA,Actua Corporation,Technology,EDP Services,S1000075,./yhoo_data/S1000075.csv
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,S1000076,./yhoo_data/S1000076.csv
ACTX,Global X Guru Activist ETF,n/a,n/a,S1000077,./yhoo_data/S1000077.csv
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components,S1000078,./yhoo_data/S1000078.csv
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,S1000079,./yhoo_data/S1000079.csv
ACWI,iShares MSCI ACWI Index Fund,n/a,n/a,S1000080,./yhoo_data/S1000080.csv
ACWX,iShares MSCI ACWI ex US Index Fund,n/a,n/a,S1000081,./yhoo_data/S1000081.csv
ACXM,Acxiom Corporation,Technology,EDP Services,S1000082,./yhoo_data/S1000082.csv
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services,S1000083,./yhoo_data/S1000083.csv
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000084,./yhoo_data/S1000084.csv
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,S1000085,./yhoo_data/S1000085.csv
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,S1000086,./yhoo_data/S1000086.csv
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,S1000087,./yhoo_data/S1000087.csv
ADGE,American DG Energy Inc.,Public Utilities,Power Generation,S1000088,./yhoo_data/S1000088.csv
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,S1000089,./yhoo_data/S1000089.csv
ADI,"Analog Devices, Inc.",Technology,Semiconductors,S1000090,./yhoo_data/S1000090.csv
ADK,Adcare Health Systems Inc,Health Care,Hospital/Nursing Management,S1000091,./yhoo_data/S1000091.csv
ADK^A,Adcare Health Systems Inc,n/a,n/a,S1000092,./yhoo_data/S1000092.csv
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,S1000093,./yhoo_data/S1000093.csv
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000094,./yhoo_data/S1000094.csv
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,S1000095,./yhoo_data/S1000095.csv
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000096,./yhoo_data/S1000096.csv
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,S1000097,./yhoo_data/S1000097.csv
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,S1000098,./yhoo_data/S1000098.csv
ADPT,Adeptus Health Inc.,Health Care,Hospital/Nursing Management,S1000099,./yhoo_data/S1000099.csv
ADRA,BLDRS Asia 50 ADR Index Fund,n/a,n/a,S1000100,./yhoo_data/S1000100.csv
ADRD,BLDRS Developed Markets 100 ADR Index Fund,n/a,n/a,S1000101,./yhoo_data/S1000101.csv
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,n/a,n/a,S1000102,./yhoo_data/S1000102.csv
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,S1000103,./yhoo_data/S1000103.csv
ADRU,BLDRS Europe 100 ADR Index Fund,n/a,n/a,S1000104,./yhoo_data/S1000104.csv
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,S1000105,./yhoo_data/S1000105.csv
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,S1000106,./yhoo_data/S1000106.csv
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,S1000107,./yhoo_data/S1000107.csv
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,S1000108,./yhoo_data/S1000108.csv
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,S1000109,./yhoo_data/S1000109.csv
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000110,./yhoo_data/S1000110.csv
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,S1000111,./yhoo_data/S1000111.csv
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,S1000112,./yhoo_data/S1000112.csv
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,S1000113,./yhoo_data/S1000113.csv
AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing,S1000114,./yhoo_data/S1000114.csv
AEB,Aegon NV,Finance,Life Insurance,S1000115,./yhoo_data/S1000115.csv
AED,Aegon NV,Finance,Life Insurance,S1000116,./yhoo_data/S1000116.csv
AEE,Ameren Corporation,Public Utilities,Power Generation,S1000117,./yhoo_data/S1000117.csv
AEG,Aegon NV,Finance,Life Insurance,S1000118,./yhoo_data/S1000118.csv
AEGN,Aegion Corp,Basic Industries,Water Supply,S1000119,./yhoo_data/S1000119.csv
AEH,Aegon NV,Finance,Life Insurance,S1000120,./yhoo_data/S1000120.csv
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,S1000121,./yhoo_data/S1000121.csv
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,S1000122,./yhoo_data/S1000122.csv
AEK,Aegon NV,Finance,Life Insurance,S1000123,./yhoo_data/S1000123.csv
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,S1000124,./yhoo_data/S1000124.csv
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,S1000125,./yhoo_data/S1000125.csv
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,S1000126,./yhoo_data/S1000126.csv
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,S1000127,./yhoo_data/S1000127.csv
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,S1000128,./yhoo_data/S1000128.csv
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,S1000129,./yhoo_data/S1000129.csv
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000130,./yhoo_data/S1000130.csv
AES,The AES Corporation,Basic Industries,Electric Utilities: Central,S1000131,./yhoo_data/S1000131.csv
AES^C,The AES Corporation,Basic Industries,Electric Utilities: Central,S1000132,./yhoo_data/S1000132.csv
AET,Aetna Inc.,Health Care,Medical Specialities,S1000133,./yhoo_data/S1000133.csv
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,S1000134,./yhoo_data/S1000134.csv
AEUA,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,S1000135,./yhoo_data/S1000135.csv
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,S1000136,./yhoo_data/S1000136.csv
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,S1000137,./yhoo_data/S1000137.csv
AF,Astoria Financial Corporation,Finance,Savings Institutions,S1000138,./yhoo_data/S1000138.csv
AFA,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,S1000139,./yhoo_data/S1000139.csv
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,S1000140,./yhoo_data/S1000140.csv
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,S1000141,./yhoo_data/S1000141.csv
AFC,Ares Capital Corporation,n/a,n/a,S1000142,./yhoo_data/S1000142.csv
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,S1000143,./yhoo_data/S1000143.csv
AFGE,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,S1000144,./yhoo_data/S1000144.csv
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,S1000145,./yhoo_data/S1000145.csv
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,S1000146,./yhoo_data/S1000146.csv
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,S1000147,./yhoo_data/S1000147.csv
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,S1000148,./yhoo_data/S1000148.csv
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,S1000149,./yhoo_data/S1000149.csv
AFSD,Aflac Incorporated,Finance,Accident &Health Insurance,S1000150,./yhoo_data/S1000150.csv
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,S1000151,./yhoo_data/S1000151.csv
AFSI^A,"AmTrust Financial Services, Inc.",n/a,n/a,S1000152,./yhoo_data/S1000152.csv
AFSI^B,"AmTrust Financial Services, Inc.",n/a,n/a,S1000153,./yhoo_data/S1000153.csv
AFSI^C,"AmTrust Financial Services, Inc.",n/a,n/a,S1000154,./yhoo_data/S1000154.csv
AFSI^D,"AmTrust Financial Services, Inc.",n/a,n/a,S1000155,./yhoo_data/S1000155.csv
AFSI^E,"AmTrust Financial Services, Inc.",n/a,n/a,S1000156,./yhoo_data/S1000156.csv
AFSI^F,"AmTrust Financial Services, Inc.",n/a,n/a,S1000157,./yhoo_data/S1000157.csv
AFSS,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,S1000158,./yhoo_data/S1000158.csv
AFST,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,S1000159,./yhoo_data/S1000159.csv
AFT,Apollo Senior Floating Rate Fund Inc.,n/a,n/a,S1000160,./yhoo_data/S1000160.csv
AFW,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,S1000161,./yhoo_data/S1000161.csv
AF^C,Astoria Financial Corporation,n/a,n/a,S1000162,./yhoo_data/S1000162.csv
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals,S1000163,./yhoo_data/S1000163.csv
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,n/a,S1000164,./yhoo_data/S1000164.csv
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,S1000165,./yhoo_data/S1000165.csv
AGD,Alpine Global Dynamic Dividend Fund,n/a,n/a,S1000166,./yhoo_data/S1000166.csv
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000167,./yhoo_data/S1000167.csv
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,S1000168,./yhoo_data/S1000168.csv
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services,S1000169,./yhoo_data/S1000169.csv
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,S1000170,./yhoo_data/S1000170.csv
AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,S1000171,./yhoo_data/S1000171.csv
AGIIL,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,S1000172,./yhoo_data/S1000172.csv
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000173,./yhoo_data/S1000173.csv
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,S1000174,./yhoo_data/S1000174.csv
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,S1000175,./yhoo_data/S1000175.csv
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,S1000176,./yhoo_data/S1000176.csv
AGM^A,Federal Agricultural Mortgage Corporation,n/a,n/a,S1000177,./yhoo_data/S1000177.csv
AGM^B,Federal Agricultural Mortgage Corporation,n/a,n/a,S1000178,./yhoo_data/S1000178.csv
AGM^C,Federal Agricultural Mortgage Corporation,n/a,n/a,S1000179,./yhoo_data/S1000179.csv
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,S1000180,./yhoo_data/S1000180.csv
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,S1000181,./yhoo_data/S1000181.csv
AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,S1000182,./yhoo_data/S1000182.csv
AGNCP,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,S1000183,./yhoo_data/S1000183.csv
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,n/a,n/a,S1000184,./yhoo_data/S1000184.csv
AGN^A,Allergan plc.,n/a,n/a,S1000185,./yhoo_data/S1000185.csv
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,S1000186,./yhoo_data/S1000186.csv
AGO^B,Assured Guaranty Ltd.,n/a,n/a,S1000187,./yhoo_data/S1000187.csv
AGO^E,Assured Guaranty Ltd.,n/a,n/a,S1000188,./yhoo_data/S1000188.csv
AGO^F,Assured Guaranty Ltd.,n/a,n/a,S1000189,./yhoo_data/S1000189.csv
AGR,"Avangrid, Inc.",Public Utilities,Electric Utilities: Central,S1000190,./yhoo_data/S1000190.csv
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,S1000191,./yhoo_data/S1000191.csv
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,S1000192,./yhoo_data/S1000192.csv
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000193,./yhoo_data/S1000193.csv
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals,S1000194,./yhoo_data/S1000194.csv
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,S1000195,./yhoo_data/S1000195.csv
AGYS,"Agilysys, Inc.",Technology,EDP Services,S1000196,./yhoo_data/S1000196.csv
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,n/a,n/a,S1000197,./yhoo_data/S1000197.csv
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,S1000198,./yhoo_data/S1000198.csv
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining,S1000199,./yhoo_data/S1000199.csv
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate,S1000200,./yhoo_data/S1000200.csv
AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers,S1000201,./yhoo_data/S1000201.csv
AHL^B,Aspen Insurance Holdings Limited,n/a,n/a,S1000202,./yhoo_data/S1000202.csv
AHL^C,Aspen Insurance Holdings Limited,n/a,n/a,S1000203,./yhoo_data/S1000203.csv
AHL^D,Aspen Insurance Holdings Limited,n/a,n/a,S1000204,./yhoo_data/S1000204.csv
AHP,"Ashford Hospitality Prime, Inc.",Consumer Services,Real Estate Investment Trusts,S1000205,./yhoo_data/S1000205.csv
AHPA,Avista Healthcare Public Acquisition Corp.,Finance,Business Services,S1000206,./yhoo_data/S1000206.csv
AHPAU,Avista Healthcare Public Acquisition Corp.,Finance,Business Services,S1000207,./yhoo_data/S1000207.csv
AHPAW,Avista Healthcare Public Acquisition Corp.,Finance,Business Services,S1000208,./yhoo_data/S1000208.csv
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,S1000209,./yhoo_data/S1000209.csv
AHP^B,"Ashford Hospitality Prime, Inc.",n/a,n/a,S1000210,./yhoo_data/S1000210.csv
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,S1000211,./yhoo_data/S1000211.csv
AHT^A,Ashford Hospitality Trust Inc,n/a,n/a,S1000212,./yhoo_data/S1000212.csv
AHT^D,Ashford Hospitality Trust Inc,n/a,n/a,S1000213,./yhoo_data/S1000213.csv
AHT^F,Ashford Hospitality Trust Inc,n/a,n/a,S1000214,./yhoo_data/S1000214.csv
AHT^G,Ashford Hospitality Trust Inc,n/a,n/a,S1000215,./yhoo_data/S1000215.csv
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services,S1000216,./yhoo_data/S1000216.csv
AIA,iShares Asia 50 ETF,n/a,n/a,S1000217,./yhoo_data/S1000217.csv
AIB,Apollo Investment Corporation,n/a,n/a,S1000218,./yhoo_data/S1000218.csv
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,S1000219,./yhoo_data/S1000219.csv
AIF,Apollo Tactical Income Fund Inc.,n/a,n/a,S1000220,./yhoo_data/S1000220.csv
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,S1000221,./yhoo_data/S1000221.csv
AIG.WS,"American International Group, Inc.",n/a,n/a,S1000222,./yhoo_data/S1000222.csv
AIII,"ACRE Realty Investors, Inc.",Consumer Services,Real Estate Investment Trusts,S1000223,./yhoo_data/S1000223.csv
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,S1000224,./yhoo_data/S1000224.csv
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,S1000225,./yhoo_data/S1000225.csv
AIN,Albany International Corporation,Basic Industries,Textiles,S1000226,./yhoo_data/S1000226.csv
AINC,Ashford Inc.,Consumer Services,Professional Services,S1000227,./yhoo_data/S1000227.csv
AINV,Apollo Investment Corporation,n/a,n/a,S1000228,./yhoo_data/S1000228.csv
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities,S1000229,./yhoo_data/S1000229.csv
AIR,AAR Corp.,Capital Goods,Aerospace,S1000230,./yhoo_data/S1000230.csv
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,S1000231,./yhoo_data/S1000231.csv
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical,S1000232,./yhoo_data/S1000232.csv
AIRM,Air Methods Corporation,Transportation,Transportation Services,S1000233,./yhoo_data/S1000233.csv
AIRR,First Trust RBA American Industrial Renaissance ETF,n/a,n/a,S1000234,./yhoo_data/S1000234.csv
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,S1000235,./yhoo_data/S1000235.csv
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,S1000236,./yhoo_data/S1000236.csv
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,S1000237,./yhoo_data/S1000237.csv
AIV^A,Apartment Investment and Management Company,n/a,n/a,S1000238,./yhoo_data/S1000238.csv
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services,S1000239,./yhoo_data/S1000239.csv
AIY,Apollo Investment Corporation,n/a,n/a,S1000240,./yhoo_data/S1000240.csv
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance,S1000241,./yhoo_data/S1000241.csv
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,S1000242,./yhoo_data/S1000242.csv
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,S1000243,./yhoo_data/S1000243.csv
AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts,S1000244,./yhoo_data/S1000244.csv
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,S1000245,./yhoo_data/S1000245.csv
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,S1000246,./yhoo_data/S1000246.csv
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,S1000247,./yhoo_data/S1000247.csv
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,S1000248,./yhoo_data/S1000248.csv
AKG,Asanko Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),S1000249,./yhoo_data/S1000249.csv
AKO.A,Embotelladora Andina S.A.,n/a,n/a,S1000250,./yhoo_data/S1000250.csv
AKO.B,Embotelladora Andina S.A.,n/a,n/a,S1000251,./yhoo_data/S1000251.csv
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a,S1000252,./yhoo_data/S1000252.csv
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,S1000253,./yhoo_data/S1000253.csv
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,S1000254,./yhoo_data/S1000254.csv
